keep,2012-06-08,04:29:50,176.28.87.169,AZ,Azerbaijan,Baku,9,Baki,40.3953,49.8822,"Mozilla/5.0 (Linux; U; Android 2.3.4; ru-bg; HTC EVO 3D X515m Build/GRJ22) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1 Шпион или нет?",en,"ru-BG, en-US",participant,vote,2012-06-08,04:30:50,1339144406177
keep,2012-05-13,11:14:03,31.171.60.49,AZ,Azerbaijan,Baku,9,Baki,40.3953,49.8822,"Mozilla/5.0 (Linux; U; Android 4.0.3; ru-by; HTC One X Build/IML74K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30 Шпион или нет?",ru-BY,"ru-BY, en-US",participant,vote,2012-05-13,11:14:41,1336922042960
keep,2012-06-21,16:34:08,37.45.254.212,BY,Belarus,,,,53,28,"Mozilla/5.0 (Linux; U; Android 2.2.2; ru-by; MTC Mini Build/HuaweiMTC_Mini) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1 Шпион или нет?",en,"ru-BY, en-US",participant,vote,2012-06-21,16:35:29,1340310829276:::Sussex
keep,2012-07-04,07:35:45,109.184.169.129,RU,Russian Federation,Nizhniy Novgorod,51,Nizhegorod,56.3269,44.0075,"Mozilla/5.0 (Linux; U; Android 4.0.3; ru-ru; Sony Tablet S Build/TISU0077) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Safari/534.30 Шпион или нет?",ru-RU,"ru-RU, en-US",participant,vote,2012-07-04,07:37:03,1341423524638:::Russia
keep,2012-09-29,12:04:13,109.198.99.154,RU,Russian Federation,Nizhniy Tagil,71,Sverdlovsk,57.9194,59.965,"Mozilla/5.0 (Linux; U; Android 2.3.6; ru-ru; ALCATEL ONE TOUCH 991 Build/GRJ90) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1 Шпион или нет?",en,"ru-RU, en-US",participant,vote,2012-09-29,12:05:31,1348941963140:::Russia
keep,2012-09-17,10:23:26,109.87.227.58,UA,Ukraine,Poltava,18,Poltavs'ka Oblast',49.5937,34.5407,"Mozilla/5.0 (Linux; U; Android 2.3.6; ru-ru; GT-S5830i Build/GINGERBREAD) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1 Шпион или нет?",en,"ru-RU, en-US",participant,vote,2012-09-17,10:23:48,1347902946124:::Russia
keep,2012-06-22,20:36:47,176.212.164.47,RU,Russian Federation,Ryazan,62,Ryazan',54.6269,39.6916,"Mozilla/5.0 (Linux; U; Android 2.3.3; ru-ru; GT-S5830 Build/GINGERBREAD) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1 Шпион или нет?",en,"ru-RU, en-US",participant,vote,2012-06-22,20:37:46,1340411812742:::Russia
keep,2012-05-11,20:48:19,176.92.189.3,GR,Greece,Athens,35,Attiki,37.9833,23.7333,"Mozilla/5.0 (Linux; U; Android 4.0.4; ru-ru; Nexus S Build/IMM76D) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30 Шпион или нет?",ru-RU,"ru-RU, en-US",participant,vote,2012-05-11,20:49:25,1336783697787:::Russia
keep,2012-05-07,14:40:34,178.64.244.30,RU,Russian Federation,Cherepovets,85,Vologda,59.1333,37.9,"Mozilla/5.0 (Linux; U; Android 3.2.1; ru-ru; A100 Build/HTK55D) AppleWebKit/534.13 (KHTML, like Gecko) Version/4.0 Safari/534.13 Шпион или нет?",ru-RU,"ru-RU, en-US",participant,vote,2012-05-07,14:40:37,1336415856200:::Sussex
keep,2012-05-20,08:18:54,178.65.116.158,RU,Russian Federation,Vorkuta,34,Komi,67.5,64,"Mozilla/5.0 (Linux; U; Android 4.0.3; ru-ru; A200 Build/IML74K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Safari/534.30 Шпион или нет?",ru-RU,"ru-RU, en-US",participant,vote,2012-05-20,08:19:32,1337516398214
keep,2012-09-22,08:41:50,178.93.24.146,UA,Ukraine,,,,49,32,"Mozilla/5.0 (Linux; U; Android 3.1; ru-ru; GT-P7500 Build/HMJ37) AppleWebKit/534.13 (KHTML, like Gecko) Version/4.0 Safari/534.13 Шпион или нет?",ru-RU,"ru-RU, en-US",participant,vote,2012-09-22,08:42:11,1349710874530:::Russia
keep,2012-08-10,15:20:23,188.123.230.147,RU,Russian Federation,Moscow,48,Moscow City,55.7522,37.6156,"Mozilla/5.0 (Linux; U; Android 4.0.3; ru-ru; GT-P3100 Build/IML74K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Safari/534.30 Шпион или нет?",ru-RU,"ru-RU, en-US",participant,vote,2012-08-10,15:21:33,1344626387345:::Russia
keep,2012-09-05,15:40:07,188.123.248.72,RU,Russian Federation,Moscow,48,Moscow City,55.7522,37.6156,"Mozilla/5.0 (Linux; U; Android 4.0.3; ru-ru; GT-I9100 Build/IML74K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30 Шпион или нет?",ru-RU,"ru-RU, en-US",participant,vote,2012-09-05,15:40:52,1346874002153:::Russia
keep,2012-08-24,17:12:25,188.163.32.33,UA,Ukraine,Kiev,12,Kyyiv,50.4333,30.5167,"Mozilla/5.0 (Linux; U; Android 2.3.3; ru-ru; GT-S5660 Build/GINGERBREAD) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1 Шпион или нет?",en,"ru-RU, en-US",participant,vote,2012-08-24,17:12:57,1345842749737:::Russia
